name,pos,snap_total,snap_percent,team,opp
Trevor Lawrence,QB,67,1.0,JAX,KC
Christian Kirk,WR,54,0.81,JAX,KC
Calvin Ridley,WR,53,0.79,JAX,KC
Evan Engram,TE,50,0.75,JAX,KC
Travis Etienne,RB,48,0.72,JAX,KC
Zay Jones,WR,44,0.66,JAX,KC
Jamal Agnew,WR,25,0.37,JAX,KC
Luke Farrell,TE,19,0.28,JAX,KC
Brenton Strange,TE,17,0.25,JAX,KC
Tank Bigsby,RB,13,0.19,JAX,KC
D'Ernest Johnson,RB,6,0.09,JAX,KC
Tim Jones,WR,6,0.09,JAX,KC
