name,pos,snap_total,snap_percent,team,opp
Jordan Love,QB,50,1.0,GB,ATL
Luke Musgrave,TE,44,0.88,GB,ATL
Romeo Doubs,WR,38,0.76,GB,ATL
AJ Dillon,RB,34,0.68,GB,ATL
Jayden Reed,WR,28,0.56,GB,ATL
Dontayvion Wicks,WR,25,0.5,GB,ATL
Samori Toure,WR,23,0.46,GB,ATL
Josiah Deguara,TE,19,0.38,GB,ATL
Patrick Taylor,RB,11,0.22,GB,ATL
Malik Heath,WR,10,0.2,GB,ATL
Ben Sims,TE,5,0.1,GB,ATL
Emanuel Wilson,RB,5,0.1,GB,ATL
Tucker Kraft,TE,2,0.04,GB,ATL
