name,pos,snap_total,snap_percent,team,opp
Brock Purdy,QB,66,0.97,SF,PIT
Deebo Samuel,WR,59,0.87,SF,PIT
Christian McCaffrey,RB,58,0.85,SF,PIT
Brandon Aiyuk,WR,58,0.85,SF,PIT
George Kittle,TE,47,0.69,SF,PIT
Jauan Jennings,WR,22,0.32,SF,PIT
Charlie Woerner,TE,21,0.31,SF,PIT
Ross Dwelley,TE,12,0.18,SF,PIT
Elijah Mitchell,RB,10,0.15,SF,PIT
Ronnie Bell,WR,7,0.1,SF,PIT
Ray-Ray McCloud,WR,3,0.04,SF,PIT
Sam Darnold,QB,2,0.03,SF,PIT
Jordan Mason,RB,0,0.0,SF,PIT
