name,pos,snap_total,snap_percent,team,opp
Kenny Pickett,QB,63,1.0,PIT,SF
Allen Robinson,WR,56,0.89,PIT,SF
George Pickens,WR,56,0.89,PIT,SF
Calvin Austin,WR,35,0.56,PIT,SF
Najee Harris,RB,33,0.52,PIT,SF
Pat Freiermuth,TE,32,0.51,PIT,SF
Diontae Johnson,WR,27,0.43,PIT,SF
Jaylen Warren,RB,25,0.4,PIT,SF
Darnell Washington,TE,24,0.38,PIT,SF
Connor Heyward,TE,17,0.27,PIT,SF
Miles Boykin,WR,5,0.08,PIT,SF
Anthony McFarland,RB,5,0.08,PIT,SF
