name,pos,snap_total,snap_percent,team,opp
Zach Wilson,QB,47,1.0,NYJ,DAL
Allen Lazard,WR,44,0.94,NYJ,DAL
Garrett Wilson,WR,43,0.91,NYJ,DAL
Tyler Conklin,TE,41,0.87,NYJ,DAL
Randall Cobb,WR,23,0.49,NYJ,DAL
Dalvin Cook,RB,17,0.36,NYJ,DAL
Breece Hall,RB,16,0.34,NYJ,DAL
CJ Uzomah,TE,15,0.32,NYJ,DAL
Michael Carter,RB,15,0.32,NYJ,DAL
Mecole Hardman,WR,14,0.3,NYJ,DAL
Jeremy Ruckert,TE,5,0.11,NYJ,DAL
Xavier Gipson,WR,0,0.0,NYJ,DAL
