name,pos,snap_total,snap_percent,team,opp
Deshaun Watson,QB,87,1.0,CLE,PIT
Donovan Peoples-Jones,WR,76,0.87,CLE,PIT
David Njoku,TE,74,0.85,CLE,PIT
Elijah Moore,WR,67,0.77,CLE,PIT
Amari Cooper,WR,63,0.72,CLE,PIT
Jerome Ford,RB,43,0.49,CLE,PIT
Harrison Bryant,TE,26,0.3,CLE,PIT
Nick Chubb,RB,18,0.21,CLE,PIT
Marquise Goodwin,WR,15,0.17,CLE,PIT
Pierre Strong,RB,13,0.15,CLE,PIT
David Bell,WR,11,0.13,CLE,PIT
Cedric Tillman,WR,9,0.1,CLE,PIT
Jordan Akins,TE,9,0.1,CLE,PIT
