name,pos,snap_total,snap_percent,team,opp,week
Jimmy Garoppolo,QB,57,0.97,LV,DEN,1
Davante Adams,WR,53,0.9,LV,DEN,1
Jakobi Meyers,WR,47,0.8,LV,DEN,1
Josh Jacobs,RB,47,0.8,LV,DEN,1
Austin Hooper,TE,31,0.53,LV,DEN,1
Michael Mayer,TE,29,0.49,LV,DEN,1
Hunter Renfrow,WR,13,0.22,LV,DEN,1
Kristian Wilkerson,WR,13,0.22,LV,DEN,1
DeAndre Carter,WR,10,0.17,LV,DEN,1
Ameer Abdullah,RB,7,0.12,LV,DEN,1
Zamir White,RB,5,0.08,LV,DEN,1
Brian Hoyer,QB,2,0.03,LV,DEN,1
Brandon Bolden,RB,0,0.0,LV,DEN,1
Jesper Horsted,TE,0,0.0,LV,DEN,1
