name,pos,snap_total,snap_percent,team,opp
Jared Goff,QB,70,1.0,DET,KC
Amon-Ra St,WR,66,0.94,DET,KC
Sam LaPorta,TE,58,0.83,DET,KC
David Montgomery,RB,55,0.79,DET,KC
Josh Reynolds,WR,49,0.7,DET,KC
Marvin Jones,WR,39,0.56,DET,KC
Brock Wright,TE,27,0.39,DET,KC
Kalif Raymond,WR,19,0.27,DET,KC
Jahmyr Gibbs,RB,19,0.27,DET,KC
James Mitchell,TE,6,0.09,DET,KC
Craig Reynolds,RB,0,0.0,DET,KC
