name,pos,snap_total,snap_percent,team,opp,week
Sam Howell,QB,73,1.0,WAS,DEN,2
Jahan Dotson,WR,62,0.85,WAS,DEN,2
Terry McLaurin,WR,54,0.74,WAS,DEN,2
Curtis Samuel,WR,45,0.62,WAS,DEN,2
John Bates,TE,38,0.52,WAS,DEN,2
Brian Robinson,RB,38,0.52,WAS,DEN,2
Antonio Gibson,RB,35,0.48,WAS,DEN,2
Logan Thomas,TE,29,0.4,WAS,DEN,2
Cole Turner,TE,23,0.32,WAS,DEN,2
Dyami Brown,WR,23,0.32,WAS,DEN,2
Byron Pringle,WR,13,0.18,WAS,DEN,2
Mitchell Tinsley,WR,3,0.04,WAS,DEN,2
Chris Rodriguez,RB,2,0.03,WAS,DEN,2
Jamison Crowder,WR,0,0.0,WAS,DEN,2
