name,pos,snap_total,snap_percent,team,opp,week
Ja'Marr Chase,WR,54,0.96,CIN,CLE,1
Tee Higgins,WR,53,0.95,CIN,CLE,1
Joe Burrow,QB,52,0.93,CIN,CLE,1
Tyler Boyd,WR,47,0.84,CIN,CLE,1
Joe Mixon,RB,35,0.63,CIN,CLE,1
Irv Smith,TE,30,0.54,CIN,CLE,1
Drew Sample,TE,18,0.32,CIN,CLE,1
Trayveon Williams,RB,16,0.29,CIN,CLE,1
Trenton Irwin,WR,12,0.21,CIN,CLE,1
Chris Evans,RB,7,0.13,CIN,CLE,1
Mitchell Wilcox,TE,7,0.13,CIN,CLE,1
Jake Browning,QB,4,0.07,CIN,CLE,1
Andrei Iosivas,WR,1,0.02,CIN,CLE,1
Charlie Jones,WR,0,0.0,CIN,CLE,1
