name,pos,snap_total,snap_percent,team,opp
Mac Jones,QB,80,1.0,NE,PHI
Kendrick Bourne,WR,73,0.91,NE,PHI
Hunter Henry,TE,63,0.79,NE,PHI
Rhamondre Stevenson,RB,58,0.73,NE,PHI
Kayshon Boutte,WR,55,0.69,NE,PHI
JuJu Smith-Schuster,WR,43,0.54,NE,PHI
Demario Douglas,WR,33,0.41,NE,PHI
Mike Gesicki,TE,33,0.41,NE,PHI
Ezekiel Elliott,RB,28,0.35,NE,PHI
Ty Montgomery,WR,7,0.09,NE,PHI
Pharaoh Brown,TE,6,0.08,NE,PHI
Matthew Slater,WR,0,0.0,NE,PHI
