name,pos,snap_total,snap_percent,team,opp
Michael Pittman,WR,70,0.97,IND,JAX
Anthony Richardson,QB,69,0.96,IND,JAX
Alec Pierce,WR,66,0.92,IND,JAX
Josh Downs,WR,57,0.79,IND,JAX
Deon Jackson,RB,51,0.71,IND,JAX
Kylen Granson,TE,44,0.61,IND,JAX
Mo Alie-Cox,TE,30,0.42,IND,JAX
Andrew Ogletree,TE,15,0.21,IND,JAX
Jake Funk,RB,13,0.18,IND,JAX
Evan Hull,RB,8,0.11,IND,JAX
Juwann Winfree,WR,5,0.07,IND,JAX
Gardner Minshew,QB,3,0.04,IND,JAX
Isaiah McKenzie,WR,1,0.01,IND,JAX
