name,pos,team,pass_cmp,pass_att,pass_yds,pass_first_down,pass_first_down_pct,pass_target_yds,pass_tgt_yds_per_att,pass_air_yds,pass_air_yds_per_cmp,pass_air_yds_per_att,pass_yac,pass_yac_per_cmp,pass_drops,pass_drop_pct,pass_poor_throws,pass_poor_throw_pct,pass_sacked,pass_blitzed,pass_hurried,pass_hits,pass_pressured,pass_pressured_pct,rush_scrambles,rush_scrambles_yds_per_att,week
Anthony Richardson,QB,IND,24,37,223,12.0,0.29,216,5.8,87,3.6,2.4,136,5.7,2,0.054,8,0.216,4,15,4,2,10,0.222,4,4.0,1
Gardner Minshew,QB,IND,0,2,0,0.0,0.0,2,1.0,0,0.0,0.0,0,0.0,0,0.0,1,0.5,0,2,1,0,1,0.5,0,0.0,1
