name,pos,team,pass_cmp,pass_att,pass_yds,pass_first_down,pass_first_down_pct,pass_target_yds,pass_tgt_yds_per_att,pass_air_yds,pass_air_yds_per_cmp,pass_air_yds_per_att,pass_yac,pass_yac_per_cmp,pass_drops,pass_drop_pct,pass_poor_throws,pass_poor_throw_pct,pass_sacked,pass_blitzed,pass_hurried,pass_hits,pass_pressured,pass_pressured_pct,rush_scrambles,rush_scrambles_yds_per_att
Gardner Minshew,QB,IND,19,23,171,9,0.39,120,5.2,95,5.0,4.1,76,4.0,0,0.0,3,0.136,0,8,5,0,5,0.2,2,1.5
Anthony Richardson,QB,IND,6,10,56,4,0.4,16,1.6,-5,-0.8,-0.5,61,10.2,1,0.111,1,0.111,0,0,1,1,2,0.2,0,0.0
