name,pos,team,pass_cmp,pass_att,pass_yds,pass_first_down,pass_first_down_pct,pass_target_yds,pass_tgt_yds_per_att,pass_air_yds,pass_air_yds_per_cmp,pass_air_yds_per_att,pass_yac,pass_yac_per_cmp,pass_drops,pass_drop_pct,pass_poor_throws,pass_poor_throw_pct,pass_sacked,pass_blitzed,pass_hurried,pass_hits,pass_pressured,pass_pressured_pct,rush_scrambles,rush_scrambles_yds_per_att,week
Trevor Lawrence,QB,JAX,22,41,216,14,0.31,283,6.9,107,4.9,2.6,109,5.0,3,0.075,10,0.25,4,18,11,2,17,0.354,3,9.7,2
Christian Kirk,WR,JAX,1,1,-1,0,0.0,-1,-1.0,-1,-1.0,-1.0,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0.0,0,0.0,2
