name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush,week
Josh Jacobs,RB,LV,19,48,0,3.0,11,0.6,37,1.9,1,19.0,1
Jimmy Garoppolo,QB,LV,9,11,0,2.0,6,0.7,5,0.6,1,9.0,1
Zamir White,RB,LV,1,2,0,0.0,0,0.0,2,2.0,0,0.0,1
