name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush
D'Andre Swift,RB,PHI,28,175,1,10.0,118,4.2,57,2.0,5,5.6
Jalen Hurts,QB,PHI,12,35,2,5.0,32,2.7,3,0.3,1,12.0
Boston Scott,RB,PHI,5,40,0,3.0,32,6.4,8,1.6,2,2.5
Rashaad Penny,RB,PHI,3,9,0,1.0,9,3.0,0,0.0,0,0.0
