name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush,week
Daniel Jones,QB,NYG,13,43,0,3.0,35,2.7,8,0.6,0,0.0,1
Saquon Barkley,RB,NYG,12,51,0,2.0,21,1.8,30,2.5,0,0.0,1
Matt Breida,RB,NYG,2,9,0,1.0,2,1.0,7,3.5,0,0.0,1
Gary Brightwell,RB,NYG,1,5,0,0.0,2,2.0,3,3.0,0,0.0,1
