name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush,week
Isiah Pacheco,RB,KC,12,70,0,4.0,53,4.4,17,1.4,1,12.0,2
Patrick Mahomes,QB,KC,7,30,0,3.0,30,4.3,0,0.0,0,0.0,2
Clyde Edwards-Helaire,RB,KC,1,0,0,0.0,0,0.0,0,0.0,2,0.5,2
Jerick McKinnon,RB,KC,1,-2,0,0.0,-2,-2.0,0,0.0,0,0.0,2
Kadarius Toney,WR,KC,1,3,0,0.0,1,1.0,2,2.0,0,0.0,2
