name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush
Isiah Pacheco,RB,KC,8,23,0,2.0,13,1.6,10,1.3,0,0.0
Clyde Edwards-Helaire,RB,KC,6,22,0,1.0,22,3.7,0,0.0,0,0.0
Patrick Mahomes,QB,KC,6,45,0,3.0,45,7.5,0,0.0,0,0.0
Skyy Moore,WR,KC,1,4,0,0.0,2,2.0,2,2.0,0,0.0
Rashee Rice,WR,KC,1,-3,0,0.0,-3,-3.0,0,0.0,0,0.0
Kadarius Toney,WR,KC,1,-1,0,0.0,-1,-1.0,0,0.0,0,0.0
