name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush,week
Dameon Pierce,RB,HOU,15,31,0,1,13,0.9,18,1.2,1,15.0,2
Devin Singletary,RB,HOU,4,14,0,0,10,2.5,4,1.0,0,0.0,2
CJ Stroud,QB,HOU,3,1,0,0,1,0.3,0,0.0,0,0.0,2
Andrew Beck,RB,HOU,2,2,0,1,1,0.5,1,0.5,0,0.0,2
Dare Ogunbowale,RB,HOU,2,4,0,1,1,0.5,3,1.5,0,0.0,2
