name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush
Dalvin Cook,RB,NYJ,13,33,0,2.0,14,1.1,19,1.5,1,13.0
Breece Hall,RB,NYJ,10,127,0,2.0,29,2.9,98,9.8,1,10.0
Zach Wilson,QB,NYJ,4,6,0,1.0,3,0.8,3,0.8,0,0.0
Michael Carter,RB,NYJ,1,6,0,0.0,2,2.0,4,4.0,0,0.0
