name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush,week
AJ Dillon,RB,GB,15,55,0,3.0,22,1.5,33,2.2,0,0.0,2
Emanuel Wilson,RB,GB,3,5,0,0.0,2,0.7,3,1.0,0,0.0,2
Jordan Love,QB,GB,2,23,0,1.0,20,10.0,3,1.5,0,0.0,2
Patrick Taylor,RB,GB,1,1,0,0.0,0,0.0,1,1.0,0,0.0,2
