name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush,week
Nick Chubb,RB,CLE,18,106,0,7.0,69,3.8,37,2.1,1,18.0,1
Jerome Ford,RB,CLE,15,36,0,1.0,18,1.2,18,1.2,0,0.0,1
Deshaun Watson,QB,CLE,5,45,1,3.0,30,6.0,15,3.0,1,5.0,1
Elijah Moore,WR,CLE,2,19,0,1.0,13,6.5,6,3.0,0,0.0,1
