name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush,week
Kyren Williams,RB,LAR,14,52,1,6,28,2.0,24,1.7,0,0.0,2
Matthew Stafford,QB,LAR,4,17,0,1,17,4.3,0,0.0,0,0.0,2
Puka Nacua,WR,LAR,2,4,0,1,0,0.0,4,2.0,0,0.0,2
Tutu Atwell,WR,LAR,1,5,0,0,4,4.0,1,1.0,0,0.0,2
Ben Skowronek,WR,LAR,1,11,0,1,5,5.0,6,6.0,0,0.0,2
