name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush
Cam Akers,RB,LAR,22,29,1,4.0,15,0.7,14,0.6,4,5.5
Kyren Williams,RB,LAR,15,52,2,3.0,33,2.2,19,1.3,0,0.0
Matthew Stafford,QB,LAR,3,11,0,1.0,11,3.7,0,0.0,0,0.0
