name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush
Justin Fields,QB,CHI,9,59,0,2.0,42,4.7,17,1.9,4,2.3
Khalil Herbert,RB,CHI,9,27,0,1.0,16,1.8,11,1.2,0,0.0
D'Onta Foreman,RB,CHI,5,16,0,2.0,7,1.4,9,1.8,0,0.0
Roschon Johnson,RB,CHI,5,20,1,3.0,9,1.8,11,2.2,0,0.0
Cole Kmet,TE,CHI,1,0,0,0.0,0,0.0,0,0.0,0,0.0
