name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush,week
James Conner,RB,ARI,14,62,0,3.0,51,3.6,11,0.8,2,7.0,1
Keaontay Ingram,RB,ARI,5,-4,0,0.0,-7,-1.4,3,0.6,3,1.7,1
Joshua Dobbs,QB,ARI,3,-3,0,0.0,-3,-1.0,0,0.0,0,0.0,1
Rondale Moore,WR,ARI,2,12,0,0.0,12,6.0,0,0.0,0,0.0,1
Marquise Brown,WR,ARI,1,29,0,1.0,29,29.0,0,0.0,0,0.0,1
