name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush,week
Miles Sanders,RB,CAR,18,72,0,2,48,2.7,24,1.3,1,18.0,1
Chuba Hubbard,RB,CAR,9,60,0,6,22,2.4,38,4.2,4,2.3,1
Bryce Young,QB,CAR,3,17,0,1,16,5.3,1,0.3,0,0.0,1
Laviska Shenault,WR,CAR,2,5,0,0,3,1.5,2,1.0,0,0.0,1
