name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush
Alexander Mattison,RB,MIN,11,34,0,1.0,13,1.2,21,1.9,0,0.0
Ty Chandler,RB,MIN,3,0,0,0.0,-1,-0.3,1,0.3,0,0.0
Kirk Cousins,QB,MIN,3,7,0,1.0,6,2.0,1,0.3,0,0.0
