name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush
Joe Mixon,RB,CIN,13,59,0,4.0,34,2.6,25,1.9,0,0.0
Chase Brown,RB,CIN,1,2,0,0.0,2,2.0,0,0.0,0,0.0
Joe Burrow,QB,CIN,1,5,0,0.0,5,5.0,0,0.0,0,0.0
