name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush,week
Khalil Herbert,RB,CHI,7,35,0,3.0,12,1.7,23,3.3,5,1.4,2
Justin Fields,QB,CHI,4,3,1,1.0,-2,-0.5,5,1.3,1,4.0,2
Roschon Johnson,RB,CHI,4,32,0,1.0,30,7.5,2,0.5,1,4.0,2
Velus Jones,WR,CHI,1,-3,0,0.0,-3,-3.0,0,0.0,0,0.0,2
