name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush
Rachaad White,RB,TB,17,73,1,6.0,31,1.8,42,2.5,4,4.3
Sean Tucker,RB,TB,8,7,0,0.0,2,0.3,5,0.6,1,8.0
Baker Mayfield,QB,TB,6,17,0,0.0,8,1.3,9,1.5,1,6.0
Chase Edmonds,RB,TB,2,12,0,1.0,10,5.0,2,1.0,0,0.0
Deven Thompkins,WR,TB,1,11,0,1.0,9,9.0,2,2.0,0,0.0
