name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush
Travis Etienne,RB,JAX,12,40,0,0.0,30,2.5,10,0.8,2,6.0
Trevor Lawrence,QB,JAX,5,26,0,1.0,20,4.0,6,1.2,1,5.0
D'Ernest Johnson,RB,JAX,1,8,0,0.0,8,8.0,0,0.0,0,0.0
