name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush
Rhamondre Stevenson,RB,NE,15,50,1,5.0,42,2.8,8,0.5,3,5.0
Ezekiel Elliott,RB,NE,5,13,0,1.0,13,2.6,0,0.0,0,0.0
Mac Jones,QB,NE,5,25,0,4.0,25,5.0,0,0.0,0,0.0
