name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush,week
James Cook,RB,BUF,12,46,0,5.0,8,0.7,38,3.2,0,0.0,1
Josh Allen,QB,BUF,6,36,0,3.0,23,3.8,13,2.2,0,0.0,1
Latavius Murray,RB,BUF,2,8,0,0.0,2,1.0,6,3.0,0,0.0,1
Damien Harris,RB,BUF,1,3,0,0.0,2,2.0,1,1.0,0,0.0,1
Deonte Harty,WR,BUF,1,4,0,0.0,3,3.0,1,1.0,0,0.0,1
