name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush
Zack Moss,RB,IND,18,88,1,4,54,3.0,34,1.9,2,9.0
Anthony Richardson,QB,IND,3,35,2,2,34,11.3,1,0.3,0,0.0
Gardner Minshew,QB,IND,2,3,0,0,1,0.5,2,1.0,0,0.0
