name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush
Jerome Ford,RB,CLE,16,106,0,3,64,4.0,42,2.6,2,8.0
Nick Chubb,RB,CLE,10,64,0,1,31,3.1,33,3.3,1,10.0
Deshaun Watson,QB,CLE,6,22,0,2,16,2.7,6,1.0,0,0.0
Pierre Strong,RB,CLE,2,1,1,1,1,0.5,0,0.0,0,0.0
Elijah Moore,WR,CLE,1,5,0,0,2,2.0,3,3.0,0,0.0
