name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush,week
Javonte Williams,RB,DEN,12,44,0,2.0,16,1.3,28,2.3,2,6.0,2
Russell Wilson,QB,DEN,6,56,0,6.0,55,9.2,1,0.2,0,0.0,2
Marvin Mims,WR,DEN,2,10,0,0.0,3,1.5,7,3.5,0,0.0,2
Michael Burton,RB,DEN,1,3,0,1.0,0,0.0,3,3.0,0,0.0,2
Jaleel McLaughlin,RB,DEN,1,5,1,1.0,5,5.0,0,0.0,0,0.0,2
Samaje Perine,RB,DEN,1,4,0,0.0,0,0.0,4,4.0,0,0.0,2
