name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush,week
JK Dobbins,RB,BAL,8,22,1,1.0,18,2.3,4,0.5,0,0.0,1
Gus Edwards,RB,BAL,8,32,0,1.0,26,3.3,6,0.8,0,0.0,1
Justice Hill,RB,BAL,8,9,2,2.0,4,0.5,5,0.6,2,4.0,1
Lamar Jackson,QB,BAL,6,38,0,3.0,17,2.8,21,3.5,1,6.0,1
Zay Flowers,WR,BAL,2,9,0,0.0,9,4.5,0,0.0,0,0.0,1
