name,pos,team,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush
Christian McCaffrey,RB,SF,22,152,1,7.0,45,2.0,107,4.9,1,22.0
Elijah Mitchell,RB,SF,5,10,0,0.0,2,0.4,8,1.6,0,0.0
Brock Purdy,QB,SF,3,20,0,1.0,14,4.7,6,2.0,0,0.0
Sam Darnold,QB,SF,2,-2,0,0.0,-2,-1.0,0,0.0,0,0.0
Deebo Samuel,WR,SF,2,8,0,0.0,5,2.5,3,1.5,0,0.0
