name,pos,snap_total,snap_percent,team,opp,week
Andy Dalton,QB,47,0.85,NO,ATL,15
Rashid Shaheed,WR,39,0.71,NO,ATL,15
Adam Trautman,TE,36,0.65,NO,ATL,15
Alvin Kamara,RB,34,0.62,NO,ATL,15
Juwan Johnson,TE,28,0.51,NO,ATL,15
Chris Olave,WR,27,0.49,NO,ATL,15
Taysom Hill,TE,24,0.44,NO,ATL,15
Jarvis Landry,WR,19,0.35,NO,ATL,15
Tre'Quan Smith,WR,18,0.33,NO,ATL,15
David Johnson,RB,18,0.33,NO,ATL,15
Marquez Callaway,WR,9,0.16,NO,ATL,15
Kirk Merritt,WR,0,0.0,NO,ATL,15
