name,pos,snap_total,snap_percent,team,opp,week
Justin Fields,QB,69,1.0,CHI,ATL,11
Cole Kmet,TE,63,0.91,CHI,ATL,11
Darnell Mooney,WR,56,0.81,CHI,ATL,11
David Montgomery,RB,55,0.8,CHI,ATL,11
Equanimeous St,WR,50,0.72,CHI,ATL,11
Chase Claypool,WR,29,0.42,CHI,ATL,11
Dante Pettis,WR,18,0.26,CHI,ATL,11
Trevon Wesco,TE,16,0.23,CHI,ATL,11
Trestan Ebner,RB,15,0.22,CHI,ATL,11
Byron Pringle,WR,14,0.2,CHI,ATL,11
Ryan Griffin,TE,8,0.12,CHI,ATL,11
Velus Jones,WR,8,0.12,CHI,ATL,11
Darrynton Evans,RB,2,0.03,CHI,ATL,11
