name,pos,snap_total,snap_percent,team,opp,week
Jalen Hurts,QB,64,0.88,PHI,TEN,13
DeVonta Smith,WR,63,0.86,PHI,TEN,13
AJ Brown,WR,60,0.82,PHI,TEN,13
Jack Stoll,TE,54,0.74,PHI,TEN,13
Miles Sanders,RB,39,0.53,PHI,TEN,13
Quez Watkins,WR,37,0.51,PHI,TEN,13
Zach Pascal,WR,28,0.38,PHI,TEN,13
Grant Calcaterra,TE,28,0.38,PHI,TEN,13
Kenneth Gainwell,RB,20,0.27,PHI,TEN,13
Boston Scott,RB,17,0.23,PHI,TEN,13
Britain Covey,WR,9,0.12,PHI,TEN,13
Gardner Minshew,QB,9,0.12,PHI,TEN,13
Tyree Jackson,TE,8,0.11,PHI,TEN,13
