name,pos,snap_total,snap_percent,team,opp,week
Van Jefferson,WR,61,0.94,LAR,DEN,16
Baker Mayfield,QB,61,0.94,LAR,DEN,16
Tyler Higbee,TE,59,0.91,LAR,DEN,16
Cam Akers,RB,49,0.75,LAR,DEN,16
Tutu Atwell,WR,45,0.69,LAR,DEN,16
Brandon Powell,WR,40,0.62,LAR,DEN,16
Brycen Hopkins,TE,38,0.58,LAR,DEN,16
Austin Trammell,WR,9,0.14,LAR,DEN,16
Lance McCutcheon,WR,8,0.12,LAR,DEN,16
Kyren Williams,RB,8,0.12,LAR,DEN,16
Malcolm Brown,RB,7,0.11,LAR,DEN,16
Bryce Perkins,QB,4,0.06,LAR,DEN,16
Ronnie Rivers,RB,1,0.02,LAR,DEN,16
