name,pos,snap_total,snap_percent,team,opp,week
Patrick Mahomes,QB,65,1.0,KC,LAC,11
Justin Watson,WR,57,0.88,KC,LAC,11
Travis Kelce,TE,51,0.78,KC,LAC,11
Marquez Valdes-Scantling,WR,46,0.71,KC,LAC,11
Noah Gray,TE,39,0.6,KC,LAC,11
Jerick McKinnon,RB,34,0.52,KC,LAC,11
Skyy Moore,WR,27,0.42,KC,LAC,11
Isiah Pacheco,RB,26,0.4,KC,LAC,11
Jody Fortson,TE,18,0.28,KC,LAC,11
Kadarius Toney,WR,14,0.22,KC,LAC,11
Clyde Edwards-Helaire,RB,5,0.08,KC,LAC,11
Marcus Kemp,WR,4,0.06,KC,LAC,11
Cornell Powell,WR,1,0.02,KC,LAC,11
