name,pos,snap_total,snap_percent,team,opp,week
Ben Skowronek,WR,64,1.0,LAR,LV,14
Van Jefferson,WR,62,0.97,LAR,LV,14
Baker Mayfield,QB,61,0.95,LAR,LV,14
Tyler Higbee,TE,61,0.95,LAR,LV,14
Tutu Atwell,WR,39,0.61,LAR,LV,14
Cam Akers,RB,27,0.42,LAR,LV,14
Kyren Williams,RB,19,0.3,LAR,LV,14
Malcolm Brown,RB,18,0.28,LAR,LV,14
Brandon Powell,WR,14,0.22,LAR,LV,14
Austin Trammell,WR,12,0.19,LAR,LV,14
Brycen Hopkins,TE,4,0.06,LAR,LV,14
John Wolford,QB,3,0.05,LAR,LV,14
Jacob Harris,WR,0,0.0,LAR,LV,14
Lance McCutcheon,WR,0,0.0,LAR,LV,14
