name,pos,snap_total,snap_percent,team,opp,week
DJ Moore,WR,44,1.0,CAR,LAR,6
Christian McCaffrey,RB,38,0.86,CAR,LAR,6
PJ Walker,QB,37,0.84,CAR,LAR,6
Tommy Tremble,TE,24,0.55,CAR,LAR,6
Shi Smith,WR,24,0.55,CAR,LAR,6
Ian Thomas,TE,23,0.52,CAR,LAR,6
Robbie Chosen,WR,23,0.52,CAR,LAR,6
Terrace Marshall,WR,20,0.45,CAR,LAR,6
D'Onta Foreman,RB,10,0.23,CAR,LAR,6
Jacob Eason,QB,7,0.16,CAR,LAR,6
Giovanni Ricci,TE,6,0.14,CAR,LAR,6
Chuba Hubbard,RB,4,0.09,CAR,LAR,6
Stephen Sullivan,TE,4,0.09,CAR,LAR,6
Raheem Blackshear,RB,0,0.0,CAR,LAR,6
Rashard Higgins,WR,0,0.0,CAR,LAR,6
