name,pos,snap_total,snap_percent,team,opp,week
Daniel Jones,QB,60,1.0,NYG,TEN,1
Saquon Barkley,RB,50,0.83,NYG,TEN,1
Kenny Golladay,WR,46,0.77,NYG,TEN,1
Sterling Shepard,WR,43,0.72,NYG,TEN,1
Richie James,WR,42,0.7,NYG,TEN,1
Daniel Bellinger,TE,29,0.48,NYG,TEN,1
David Sills,WR,27,0.45,NYG,TEN,1
Tanner Hudson,TE,19,0.32,NYG,TEN,1
Chris Myarick,TE,14,0.23,NYG,TEN,1
Matt Breida,RB,13,0.22,NYG,TEN,1
Wan'Dale Robinson,WR,9,0.15,NYG,TEN,1
Kadarius Toney,WR,7,0.12,NYG,TEN,1
Gary Brightwell,RB,0,0.0,NYG,TEN,1
