name,pos,snap_total,snap_percent,team,opp,week
Patrick Mahomes,QB,65,0.93,KC,ARI,1
Marquez Valdes-Scantling,WR,51,0.73,KC,ARI,1
JuJu Smith-Schuster,WR,46,0.66,KC,ARI,1
Travis Kelce,TE,45,0.64,KC,ARI,1
Mecole Hardman,WR,39,0.56,KC,ARI,1
Noah Gray,TE,37,0.53,KC,ARI,1
Jerick McKinnon,RB,27,0.39,KC,ARI,1
Clyde Edwards-Helaire,RB,27,0.39,KC,ARI,1
Jody Fortson,TE,24,0.34,KC,ARI,1
Isiah Pacheco,RB,16,0.23,KC,ARI,1
Justin Watson,WR,16,0.23,KC,ARI,1
Skyy Moore,WR,13,0.19,KC,ARI,1
Chad Henne,QB,5,0.07,KC,ARI,1
