name,pos,snap_total,snap_percent,team,opp,week
Dak Prescott,QB,71,1.0,DAL,HOU,14
CeeDee Lamb,WR,68,0.96,DAL,HOU,14
Dalton Schultz,TE,66,0.93,DAL,HOU,14
Michael Gallup,WR,54,0.76,DAL,HOU,14
Noah Brown,WR,50,0.7,DAL,HOU,14
Tony Pollard,RB,41,0.58,DAL,HOU,14
Ezekiel Elliott,RB,35,0.49,DAL,HOU,14
Sean McKeon,TE,11,0.15,DAL,HOU,14
James Washington,WR,11,0.15,DAL,HOU,14
Peyton Hendershot,TE,10,0.14,DAL,HOU,14
Jake Ferguson,TE,8,0.11,DAL,HOU,14
KaVontae Turpin,WR,1,0.01,DAL,HOU,14
Malik Davis,RB,0,0.0,DAL,HOU,14
