name,pos,snap_total,snap_percent,team,opp,week
Joshua Dobbs,QB,65,1.0,TEN,DAL,17
Robert Woods,WR,48,0.74,TEN,DAL,17
Treylon Burks,WR,47,0.72,TEN,DAL,17
Nick Westbrook-Ikhine,WR,45,0.69,TEN,DAL,17
Hassan Haskins,RB,43,0.66,TEN,DAL,17
Austin Hooper,TE,32,0.49,TEN,DAL,17
Geoff Swaim,TE,29,0.45,TEN,DAL,17
Chris Conley,WR,18,0.28,TEN,DAL,17
Chigoziem Okonkwo,TE,16,0.25,TEN,DAL,17
Racey McMath,WR,15,0.23,TEN,DAL,17
Julius Chestnut,RB,14,0.22,TEN,DAL,17
Kevin Rader,TE,13,0.2,TEN,DAL,17
Jonathan Ward,RB,5,0.08,TEN,DAL,17
