name,pos,snap_total,snap_percent,team,opp,week
Jake Kumerow,WR,53,0.78,BUF,TEN,2
Josh Allen,QB,52,0.76,BUF,TEN,2
Dawson Knox,TE,47,0.69,BUF,TEN,2
Stefon Diggs,WR,45,0.66,BUF,TEN,2
Devin Singletary,RB,37,0.54,BUF,TEN,2
Isaiah McKenzie,WR,31,0.46,BUF,TEN,2
Quintin Morris,TE,28,0.41,BUF,TEN,2
Khalil Shakir,WR,24,0.35,BUF,TEN,2
Jamison Crowder,WR,19,0.28,BUF,TEN,2
James Cook,RB,18,0.26,BUF,TEN,2
Case Keenum,QB,16,0.24,BUF,TEN,2
Zack Moss,RB,13,0.19,BUF,TEN,2
Taiwan Jones,RB,0,0.0,BUF,TEN,2
