name,pos,snap_total,snap_percent,team,opp,week
Taylor Heinicke,QB,85,1.0,WAS,NYG,13
Terry McLaurin,WR,77,0.91,WAS,NYG,13
Jahan Dotson,WR,67,0.79,WAS,NYG,13
Curtis Samuel,WR,56,0.66,WAS,NYG,13
Logan Thomas,TE,48,0.56,WAS,NYG,13
John Bates,TE,45,0.53,WAS,NYG,13
Antonio Gibson,RB,42,0.49,WAS,NYG,13
Brian Robinson,RB,40,0.47,WAS,NYG,13
Cole Turner,TE,24,0.28,WAS,NYG,13
Dyami Brown,WR,17,0.2,WAS,NYG,13
Cam Sims,WR,7,0.08,WAS,NYG,13
Jonathan Williams,RB,2,0.02,WAS,NYG,13
Alex Erickson,WR,0,0.0,WAS,NYG,13
