name,pos,snap_total,snap_percent,team,opp,week
Deshaun Watson,QB,62,0.98,CLE,HOU,13
Donovan Peoples-Jones,WR,60,0.95,CLE,HOU,13
Amari Cooper,WR,51,0.81,CLE,HOU,13
Pharaoh Brown,TE,40,0.63,CLE,HOU,13
Demetric Felton,RB,38,0.6,CLE,HOU,13
Harrison Bryant,TE,36,0.57,CLE,HOU,13
Nick Chubb,RB,32,0.51,CLE,HOU,13
Kareem Hunt,RB,24,0.38,CLE,HOU,13
Jerome Ford,RB,7,0.11,CLE,HOU,13
Anthony Schwartz,WR,5,0.08,CLE,HOU,13
David Bell,WR,3,0.05,CLE,HOU,13
Jacoby Brissett,QB,1,0.02,CLE,HOU,13
D'Ernest Johnson,RB,0,0.0,CLE,HOU,13
