name,pos,snap_total,snap_percent,team,opp,week
Allen Lazard,WR,49,1.0,GB,PHI,12
Christian Watson,WR,45,0.92,GB,PHI,12
Aaron Rodgers,QB,39,0.8,GB,PHI,12
Aaron Jones,RB,35,0.71,GB,PHI,12
Robert Tonyan,TE,25,0.51,GB,PHI,12
Randall Cobb,WR,22,0.45,GB,PHI,12
AJ Dillon,RB,21,0.43,GB,PHI,12
Marcedes Lewis,TE,19,0.39,GB,PHI,12
Josiah Deguara,TE,14,0.29,GB,PHI,12
Jordan Love,QB,10,0.2,GB,PHI,12
Tyler Davis,TE,9,0.18,GB,PHI,12
Sammy Watkins,WR,4,0.08,GB,PHI,12
Samori Toure,WR,2,0.04,GB,PHI,12
Patrick Taylor,RB,0,0.0,GB,PHI,12
