name,pos,snap_total,snap_percent,team,opp,week
Jared Goff,QB,64,0.9,DET,CHI,17
Amon-Ra St,WR,50,0.7,DET,CHI,17
DJ Chark,WR,48,0.68,DET,CHI,17
Brock Wright,TE,46,0.65,DET,CHI,17
Jamaal Williams,RB,33,0.46,DET,CHI,17
Josh Reynolds,WR,31,0.44,DET,CHI,17
Shane Zylstra,TE,28,0.39,DET,CHI,17
D'Andre Swift,RB,25,0.35,DET,CHI,17
Kalif Raymond,WR,21,0.3,DET,CHI,17
James Mitchell,TE,20,0.28,DET,CHI,17
Jameson Williams,WR,18,0.25,DET,CHI,17
Craig Reynolds,RB,13,0.18,DET,CHI,17
Nate Sudfeld,QB,7,0.1,DET,CHI,17
