name,pos,snap_total,snap_percent,team,opp,week
Jared Goff,QB,66,1.0,DET,CAR,16
Amon-Ra St,WR,55,0.83,DET,CAR,16
DJ Chark,WR,49,0.74,DET,CAR,16
Josh Reynolds,WR,40,0.61,DET,CAR,16
D'Andre Swift,RB,37,0.56,DET,CAR,16
Shane Zylstra,TE,29,0.44,DET,CAR,16
Brock Wright,TE,27,0.41,DET,CAR,16
Kalif Raymond,WR,21,0.32,DET,CAR,16
James Mitchell,TE,19,0.29,DET,CAR,16
Jamaal Williams,RB,16,0.24,DET,CAR,16
Justin Jackson,RB,14,0.21,DET,CAR,16
Jameson Williams,WR,11,0.17,DET,CAR,16
Garrett Griffin,TE,10,0.15,DET,CAR,16
