name,pos,snap_total,snap_percent,team,opp,week
Justin Herbert,QB,71,1.0,LAC,SEA,7
DeAndre Carter,WR,67,0.94,LAC,SEA,7
Austin Ekeler,RB,55,0.77,LAC,SEA,7
Mike Williams,WR,54,0.76,LAC,SEA,7
Michael Bandy,WR,42,0.59,LAC,SEA,7
Gerald Everett,TE,40,0.56,LAC,SEA,7
Tre' McKitty,TE,24,0.34,LAC,SEA,7
Keenan Allen,WR,23,0.32,LAC,SEA,7
Jason Moore,WR,18,0.25,LAC,SEA,7
Sony Michel,RB,13,0.18,LAC,SEA,7
Richard Rodgers,TE,12,0.17,LAC,SEA,7
Isaiah Spiller,RB,4,0.06,LAC,SEA,7
Zander Horvath,RB,3,0.04,LAC,SEA,7
