name,pos,snap_total,snap_percent,team,opp,week
Tyler Higbee,TE,59,0.92,LAR,NO,11
Ben Skowronek,WR,54,0.84,LAR,NO,11
Allen Robinson,WR,53,0.83,LAR,NO,11
Van Jefferson,WR,47,0.73,LAR,NO,11
Matthew Stafford,QB,38,0.59,LAR,NO,11
Kyren Williams,RB,35,0.55,LAR,NO,11
Bryce Perkins,QB,26,0.41,LAR,NO,11
Cam Akers,RB,25,0.39,LAR,NO,11
Brandon Powell,WR,20,0.31,LAR,NO,11
Lance McCutcheon,WR,10,0.16,LAR,NO,11
Tutu Atwell,WR,7,0.11,LAR,NO,11
Brycen Hopkins,TE,6,0.09,LAR,NO,11
Darrell Henderson,RB,4,0.06,LAR,NO,11
Jacob Harris,WR,0,0.0,LAR,NO,11
