name,pos,snap_total,snap_percent,team,opp,week
Tua Tagovailoa,QB,68,1.0,MIA,DET,8
Jaylen Waddle,WR,52,0.76,MIA,DET,8
Tyreek Hill,WR,49,0.72,MIA,DET,8
Raheem Mostert,RB,44,0.65,MIA,DET,8
Trent Sherfield,WR,40,0.59,MIA,DET,8
Durham Smythe,TE,31,0.46,MIA,DET,8
Mike Gesicki,TE,31,0.46,MIA,DET,8
Hunter Long,TE,17,0.25,MIA,DET,8
Chase Edmonds,RB,16,0.24,MIA,DET,8
Cedrick Wilson,WR,14,0.21,MIA,DET,8
Braylon Sanders,WR,14,0.21,MIA,DET,8
Salvon Ahmed,RB,3,0.04,MIA,DET,8
Tanner Conner,WR,2,0.03,MIA,DET,8
