name,pos,snap_total,snap_percent,team,opp,week
Russell Wilson,QB,65,1.0,DEN,LAC,18
Jerry Jeudy,WR,63,0.97,DEN,LAC,18
Courtland Sutton,WR,61,0.94,DEN,LAC,18
Latavius Murray,RB,39,0.6,DEN,LAC,18
Albert Okwuegbunam,TE,29,0.45,DEN,LAC,18
Eric Tomlinson,TE,25,0.38,DEN,LAC,18
Chase Edmonds,RB,24,0.37,DEN,LAC,18
Andrew Beck,TE,23,0.35,DEN,LAC,18
Eric Saubert,TE,22,0.34,DEN,LAC,18
Freddie Swain,WR,21,0.32,DEN,LAC,18
Tyler Badie,RB,9,0.14,DEN,LAC,18
Brandon Johnson,WR,7,0.11,DEN,LAC,18
Jalen Virgil,WR,2,0.03,DEN,LAC,18
