name,pos,snap_total,snap_percent,team,opp,week
Cole Kmet,TE,48,0.94,CHI,MIN,18
Nathan Peterman,QB,38,0.75,CHI,MIN,18
Chase Claypool,WR,36,0.71,CHI,MIN,18
Dante Pettis,WR,32,0.63,CHI,MIN,18
Byron Pringle,WR,28,0.55,CHI,MIN,18
David Montgomery,RB,24,0.47,CHI,MIN,18
Khalil Herbert,RB,19,0.37,CHI,MIN,18
N'Keal Harry,WR,17,0.33,CHI,MIN,18
Tim Boyle,QB,13,0.25,CHI,MIN,18
Trevon Wesco,TE,12,0.24,CHI,MIN,18
Velus Jones,WR,10,0.2,CHI,MIN,18
Trestan Ebner,RB,8,0.16,CHI,MIN,18
Equanimeous St,WR,4,0.08,CHI,MIN,18
Ryan Griffin,TE,3,0.06,CHI,MIN,18
