name,pos,snap_total,snap_percent,team,opp,week
Rondale Moore,WR,66,0.97,ARI,LAR,10
Colt McCoy,QB,66,0.97,ARI,LAR,10
James Conner,RB,65,0.96,ARI,LAR,10
DeAndre Hopkins,WR,64,0.94,ARI,LAR,10
Trey McBride,TE,62,0.91,ARI,LAR,10
AJ Green,WR,30,0.44,ARI,LAR,10
Stephen Anderson,TE,25,0.37,ARI,LAR,10
Zach Ertz,TE,9,0.13,ARI,LAR,10
Robbie Chosen,WR,8,0.12,ARI,LAR,10
Keaontay Ingram,RB,5,0.07,ARI,LAR,10
Greg Dortch,WR,2,0.03,ARI,LAR,10
Trace McSorley,QB,2,0.03,ARI,LAR,10
Eno Benjamin,RB,1,0.01,ARI,LAR,10
